2024-09-04 16:15:23,878 - ERROR - Failed to generate content poems. Type: cançó, Subtype: None, Sentiment: amor, Rime: tetrasíl·labs (4 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:15:28,297 - ERROR - Failed to generate content poems. Type: cançó, Subtype: None, Sentiment: amor, Rime: pentasíl·labs (5 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:15:35,045 - ERROR - Failed to generate content poems. Type: cançó, Subtype: None, Sentiment: amor, Rime: hexasíl·labs (6 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:15:43,370 - ERROR - Failed to generate content poems. Type: cançó, Subtype: None, Sentiment: amor, Rime: octosíl·labs (8 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:15:46,109 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: pentasíl·labs (5 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:15:47,260 - ERROR - Failed to generate content poems. Type: cançó, Subtype: None, Sentiment: amor, Rime: octosíl·labs (8 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:15:47,312 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: tetrasíl·labs (4 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:15:48,287 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: pentasíl·labs (5 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:15:50,057 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: hexasíl·labs (6 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:15:52,329 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: hexasíl·labs (6 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:15:56,102 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: heptasíl·labs (7 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:16:04,536 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: enneasíl·labs (9 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:16:08,773 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: decasíl·labs (10 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:16:13,740 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: hendecasíl·labs (11 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:16:17,357 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: hendecasíl·labs (11 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:16:18,253 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: amor, Rime: alexandrins (12 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:16:40,985 - ERROR - Failed to generate content articles. Type: how-to, Subtype: personal fiance, Sentiment: None, Rime: None Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:17:54,912 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: tendresa, Rime: tetrasíl·labs (4 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:17:56,561 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: tendresa, Rime: pentasíl·labs (5 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:18:04,967 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: tendresa, Rime: heptasíl·labs (7 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:18:11,205 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: tendresa, Rime: octosíl·labs (8 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:18:15,455 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: tendresa, Rime: enneasíl·labs (9 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:18:20,000 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: tendresa, Rime: decasíl·labs (10 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:18:20,233 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: tendresa, Rime: decasíl·labs (10 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:18:24,106 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: tendresa, Rime: hendecasíl·labs (11 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:18:30,822 - ERROR - Failed to generate content poems. Type: limeric, Subtype: None, Sentiment: tendresa, Rime: any Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:19:46,714 - ERROR - Failed to generate content poems. Type: rondeau, Subtype: None, Sentiment: amor, Rime: hexasíl·labs (6 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:19:54,545 - ERROR - Failed to generate content poems. Type: rondeau, Subtype: None, Sentiment: amor, Rime: octosíl·labs (8 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:19:59,109 - ERROR - Failed to generate content poems. Type: rondeau, Subtype: None, Sentiment: amor, Rime: enneasíl·labs (9 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
2024-09-04 16:20:05,783 - ERROR - Failed to generate content poems. Type: rondeau, Subtype: None, Sentiment: amor, Rime: decasíl·labs (10 versos) Error: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. Please check the `candidate.safety_ratings` to determine if the response was blocked.
